MatchID,RoundID,Country,Year,Winner,Runners.Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,TotalAttendance,Datetime,Stage,Stadium,City,Home.Team.Name,Home.Team.Goals,Away.Team.Goals,Away.Team.Name,Win.conditions,Attendance,Half.time.Home.Goals,Half.time.Away.Goals,Referee,Referee_Country_Initials,Assistant.1,Assistant1_Country_Initials,Assistant.2,Assistante2_Country_Initials,Home.Team.Initials,Away.Team.Initials,Team.Initials,Coach.Name,Coach_Country_Initials,Line.up,Shirt.Number,Player.Name,Position,Event
398,309,,,,,,,,,,,1986-06-16T16:00:00Z,Round of 16,Cuauhtemoc,Puebla ,Argentina,1,0,Uruguay, ,26000,1,0, Luigi AGNOLIN,ITA, George COURTNEY,ENG, VALENTE Carlos Alberto SILVA,POR,ARG,URU,ARG, Carlos BILARDO,ARG,true,18,Nery PUMPIDO,GK,Y83'
421,714,,,,,,,,,,,1986-06-22T16:00:00Z,Quarter-finals,Cuauhtemoc,Puebla ,Spain,1,1,Belgium,Belgium win on penalties (4 - 5) ,45000,0,0, Siegfried KIRSCHEN,GER, MENDEZ Edgardo CODESAL,MEX, Horst BRUMMEIER,AUT,ESP,BEL,ESP, Miguel MUNOZ,ESP,true,1,Andoni ZUBIZARRETA,GK,
422,3468,,,,,,,,,,,1986-06-28T12:00:00Z,Match for third place,Cuauhtemoc,Puebla ,France,4,2,Belgium,France win after extra time ,21000,0,0, George COURTNEY,ENG, ARCE Hernan SILVA,CHI, SHARIF Jamal AL,SYR,FRA,BEL,FRA, Henri MICHEL,FRA,true,22,Albert RUST,GK,
427,308,,,,,,,,,,,1986-06-08T12:00:00Z,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Iraq,1,2,Belgium, ,20000,0,2, PALACIO Jesus DIAZ,COL, Vojtech CHRISTOV,TCH, ARMINIO Victoriano SANCHEZ,ESP,IRQ,BEL,IRQ,O EVARIST,BRA,true,1,HAMMOUDI RAAD,GKC,Y20'
428,,,,,,,,,,,,1986-06-03T12:00:00Z,Group B,Estadio Azteca,Mexico City ,Belgium,1,2,Mexico, ,110000,1,2, Carlos ESPOSITO,ARG, VALENTE Carlos Alberto SILVA,POR, MOLINA Romulo MENDEZ,GUA,BEL,MEX,BEL, Guy THYS,BEL,true,1,Jean Marie PFAFF,GK,
429,,,,,,,,,,,,1986-06-11T12:00:00Z,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Paraguay,2,2,Belgium, ,16000,0,1, Bogdan DOTCHEV,BUL, Ali BENNACEUR,TUN, ARCE Hernan SILVA,CHI,PAR,BEL,PAR, Cayetano RE,PAR,true,1,Roberto FERNANDEZ,GK,
432,309,,,,,,,,,,,1986-06-15T16:00:00Z,Round of 16,Nou Camp - Estadio LeÃ¯Â¿Â½n,Leon ,Soviet Union,3,4,Belgium,Belgium win after extra time ,32277,0,0, Erik FREDRIKSSON,SWE, ARMINIO Victoriano SANCHEZ,ESP, David SOCHA,USA,URS,BEL,URS, Valeriy LOBANOVSKYI,UKR,true,1,Rinat DASAEV,GK,
439,308,,,,,,,,,,,1986-06-01T12:00:00Z,Group D,Jalisco,Guadalajara ,Spain,0,1,Brazil, ,35748,0,0, Christopher BAMBRIDGE,AUS, David SOCHA,USA, Jan KEIZER,NED,ESP,BRA,ESP, Miguel MUNOZ,ESP,true,1,Andoni ZUBIZARRETA,GK,
440,714,,,,,,,,,,,1986-06-21T12:00:00Z,Quarter-finals,Jalisco,Guadalajara ,Brazil,1,1,France,France win on penalties (3 - 4) ,65000,0,0, Ioan IGNA,ROU, Lajos NEMETH,HUN, Vojtech CHRISTOV,TCH,BRA,FRA,BRA, Tele SANTANA,BRA,true,1,CARLOS,GK,
441,308,,,,,,,,,,,1986-06-12T12:00:00Z,Group D,Jalisco,Guadalajara ,Northern Ireland,0,3,Brazil, ,51000,0,2, Siegfried KIRSCHEN,GER, Idrissa TRAORE,MLI, George COURTNEY,ENG,NIR,BRA,NIR, Billy BINGHAM,NIR,true,1,Pat JENNINGS,GK,
444,309,,,,,,,,,,,1986-06-16T12:00:00Z,Round of 16,Jalisco,Guadalajara ,Brazil,4,0,Poland, ,45000,1,0, Volker ROTH,GER, RAMIREZ Antonio MARQUEZ,MEX, Alan SNODDY,NIR,BRA,POL,BRA, Tele SANTANA,BRA,true,1,CARLOS,GK,
459,308,,,,,,,,,,,1986-05-31T12:00:00Z,Group A,Estadio Azteca,Mexico City ,Bulgaria,1,1,Italy, ,96000,0,1, Erik FREDRIKSSON,SWE, MENDEZ Edgardo CODESAL,MEX, Volker ROTH,GER,BUL,ITA,BUL, Ivan VUTSOV,BUL,true,1,Borislav MIHAYLOV,GK,
460,,,,,,,,,,,,1986-06-05T16:00:00Z,Group A,Estadio OlÃ¯Â¿Â½mpico Universitario,Mexico City ,Korea Republic,1,1,Bulgaria, ,45000,0,1, SHANAR Fallaj Khuzam AL,KSA, Ioan IGNA,ROU, Valeri BUTENKO,RUS,KOR,BUL,KOR, Jung Nam KIM,KOR,true,21,OH Yun Kyo,GK,
463,309,,,,,,,,,,,1986-06-15T12:00:00Z,Round of 16,Estadio Azteca,Mexico City ,Mexico,2,0,Bulgaria, ,114580,1,0, FILHO Romualdo ARPPI,BRA, MOLINA Romulo MENDEZ,GUA, Ioan IGNA,ROU,MEX,BUL,MEX, Bora MILUTINOVIC,YUG,true,1,Pablo LARIOS,GK,
